id,title,genre,year,director,rating
13320,Area certainly training,Romance,1961,Alicia Long,4.6
13321,Several long start,Horror,1951,Tara Ford,9.2
13322,Top expert several,Drama,1972,Linda Morse,6.3
13323,Task food,Drama,1975,Mercedes Myers,4.3
13324,Care suddenly fund,Sci-Fi,1954,Alicia Long,7.8
13325,Onto into,Romance,2018,Michael Rivera,2.4
13326,As Congress senior same,Thriller,1999,Kaylee Gallegos,6.5
13327,Especially dream reach human,Thriller,1950,Christine Benjamin,6.3
13328,Even hair guy decade,Action,1950,Melissa Hardin,5.5
13329,Southern can quickly,Sci-Fi,2010,Chelsea Khan,5.7
13330,Thank cell middle,Thriller,1956,Dominique Carr,7.5
13331,Their responsibility,Sci-Fi,2014,Clayton Wise,8.6
13332,Surface behind mission prevent,Sci-Fi,1953,Samantha Lyons,5.6
13333,Decision away,Documentary,1957,Lisa Norris,4.6
13334,Back campaign factor,Horror,1975,Erika Douglas,9.2
13335,Community box green part,Action,1985,Christine Benjamin,6.5
13336,Whom,Drama,1974,Alicia Long,9.9
13337,Today speech often,Drama,2004,Tonya Howard,1.6
13338,Some,Sci-Fi,2017,Timothy Hill,5.3
13339,And ever,Action,2011,Ashley Mcmahon,7.6
13340,Face such claim discussion,Action,2013,Lisa Forbes,9.9
13341,Short painting,Thriller,1980,Susan Cruz,7.2
13342,Total half,Thriller,2001,Jasmine Howell DDS,8.8
13343,Impact lead remember source,Documentary,2021,Greg Nunez,3.5
13344,Tv form sell,Documentary,1959,Linda Morse,7.2
13345,Rock staff,Sci-Fi,2012,Tara Ford,8.2
13346,Defense environment by toward,Thriller,2022,Adam Jackson,4.9
13347,Difference glass,Drama,2009,Daniel Sheppard,7.3
13348,Word school house,Sci-Fi,1990,Kaylee Gallegos,3.8
13349,Spend treatment,Action,1965,Gregory Saunders,9.2
13350,During either economic,Comedy,2010,Jesse Morales,8.6
13351,Away statement,Comedy,1989,Ann Clark,2.8
13352,Culture agree scene,Documentary,1970,Rodney Rose,9.9
13353,Official surface threat,Sci-Fi,2007,Samuel Bender,5.8
13354,Guess fact mother,Horror,1984,Jasmine Howell DDS,4.7
13355,Important responsibility fish,Action,1992,Cindy Dean,7.5
13356,Statement community good son,Drama,1954,Samuel Bender,7.5
13357,East gun wear,Documentary,1991,Monica Meza,3.9
13358,Really through increase,Documentary,1985,John Phillips,6.7
13359,Want,Sci-Fi,1983,Philip Gomez,3.9
13360,Race idea,Sci-Fi,1996,Philip Williams,9.8
13361,Until site western,Drama,1985,Lisa Harris,3.2
13362,Send piece,Horror,1960,Tim Richardson,9.5
13363,Item staff,Horror,1991,Craig Thompson,8.9
13364,Team reduce,Documentary,2007,Matthew Peters,6.7
13365,Large class ability painting,Thriller,2011,Christine Benjamin,8.1
13366,Manage wait on,Romance,2005,Anna Hanson,3.8
13367,Account wide maintain,Drama,2016,Timothy Hill,1.4
13368,Measure fact drop,Thriller,1969,Tonya Howard,6.8
13369,Hand red,Documentary,2016,Michael Holden PhD,2.4
13370,Happen,Comedy,1970,Mercedes Myers,9.8
13371,Benefit care admit,Romance,1980,Christine Cunningham,7.0
13372,Without with,Action,2004,Christine Cunningham,1.7
13373,Game cold,Romance,1951,Michael Long PhD,5.6
13374,Memory occur,Horror,1951,Lisa Forbes,6.1
13375,Democrat field,Romance,1953,Erika Douglas,2.9
13376,World drop,Comedy,2000,Susan Cruz,9.7
13377,Reality in,Documentary,1972,Bethany Olson DVM,2.5
13378,Pass mission station,Thriller,2019,Ann Clark,8.0
13379,Medical kid,Drama,1993,Susan Cruz,1.8
13380,Little time focus,Action,1974,Tim Richardson,6.1
13381,Take only rest,Documentary,2018,Erin Davis,1.0
13382,Theory try,Horror,1992,John Phillips,6.1
13383,Town cup,Drama,2000,Chelsea Khan,4.8
13384,Before first its,Drama,1986,Brady Rose,10.0
13385,Interview job,Comedy,2000,Michael Long PhD,9.8
13386,Art someone,Drama,1950,Danielle Dyer,3.7
13387,Act,Documentary,2003,Jennifer Smith,3.7
13388,Themselves figure,Drama,2024,Dwayne Smith,1.3
13389,Face anyone,Action,1987,Matthew Peters,7.0
13390,Approach,Drama,1980,Daniel Jones,4.4
13391,Note,Drama,2015,Deborah Cisneros,5.6
13392,Sing tend,Drama,1978,Linda Morse,6.5
13393,Apply yourself,Romance,2015,Daniel Jones,5.2
13394,Nor,Comedy,1955,Jennifer Reed,7.4
13395,Put especially approach,Documentary,1998,Linda Morse,3.2
13396,Assume of,Drama,2009,Joseph Sanders,7.1
13397,Upon method out,Sci-Fi,1980,Philip Gomez,3.5
13398,South necessary,Comedy,1996,Ernest Harvey,8.4
13399,Foreign me among,Drama,1989,Tina Gray,4.7
13400,Occur organization,Sci-Fi,1963,Lisa Harris,8.1
13401,Former gun,Documentary,2014,Kevin Guerra,8.7
13402,Computer discussion everyone,Drama,1956,Deborah Cisneros,7.5
13403,Threat trouble author,Horror,2021,Angela Martin,6.7
13404,Usually one good,Action,2018,Bethany Olson DVM,6.5
13405,Cell industry free,Action,2005,Catherine Johnson,9.4
13406,Instead star mention,Comedy,2016,Lisa Harris,3.2
13407,Into break investment,Sci-Fi,2010,Antonio Price,5.3
13408,Everybody attack,Romance,2021,John Copeland,7.1
13409,Friend clear leg,Sci-Fi,2005,Tina Smith,1.0
13410,Expert head,Horror,1987,Tina Smith,1.5
13411,Them,Comedy,1982,Michael Long PhD,8.8
13412,Western white say drive,Drama,1965,Andrew Johnston,4.7
13413,Task,Documentary,2009,Danielle Dyer,5.2
13414,South another consider standard,Documentary,1959,Kevin Guerra,2.2
13415,Machine treat financial,Action,1986,Chelsea Khan,2.1
13416,Then girl next,Drama,1978,Katherine Berry,3.7
13417,Back city,Comedy,1968,John Copeland,2.6
13418,Poor alone,Comedy,1996,Ernest Harvey,8.6
13419,During third year,Horror,1953,Lisa Norris,8.3
13420,Military treat,Comedy,1987,Denise Smith,2.2
13421,Share,Drama,1960,Theresa Gonzalez,8.8
13422,Contain beyond,Horror,2001,Michael Holden PhD,9.5
13423,Write difference,Documentary,2020,Wesley Mcconnell,1.2
13424,Positive paper,Drama,1964,John Copeland,9.1
13425,Offer control today,Action,1998,Philip Gomez,8.7
13426,Age situation agency,Documentary,1967,Bethany Olson DVM,7.7
13427,Down share,Romance,1989,Michael Rivera,1.5
13428,Institution blood claim,Documentary,1960,Michael Rivera,2.3
13429,Clearly note,Thriller,1988,Tonya Howard,3.9
13430,Top lose,Action,1984,Scott Jones Jr.,3.3
13431,Which management him,Horror,1971,Jasmine Howell DDS,5.6
13432,Miss also,Thriller,1988,Jasmine Howell DDS,2.6
13433,Recognize high agent,Romance,1955,Theresa Gonzalez,7.9
13434,Next human such,Action,1950,Michael Rivera,9.6
13435,Above truth western,Comedy,1956,Tara Ford,8.0
13436,Difficult hour manage,Documentary,1987,Matthew Peters,6.8
13437,Toward couple,Drama,2002,Ann Clark,1.1
13438,Might man help,Horror,2024,Tara Ford,10.0
13439,Official on,Sci-Fi,2015,Katrina Wiley,2.5
13440,Perform avoid write,Comedy,1956,Tonya Howard,2.8
13441,Cut deal laugh,Drama,1964,Katherine Berry,5.7
13442,Suddenly land when,Sci-Fi,1976,Wesley Mcconnell,6.7
13443,Head if get,Sci-Fi,1956,Tina Smith,4.2
13444,Interesting hold amount,Sci-Fi,1981,Timothy Hill,7.8
13445,Hundred hair,Documentary,2022,William Rubio,2.1
13446,Its administration spend,Sci-Fi,1965,Brian Kelley,6.5
13447,Treatment,Horror,1958,Christine Johnson,1.8
13448,Present memory effect,Thriller,1958,Jasmine Howell DDS,9.1
13449,Everybody player,Horror,1957,Gregory Watts,5.0
13450,Pressure check,Documentary,1975,Catherine Johnson,8.4
13451,Significant,Sci-Fi,1957,Samantha Lyons,4.7
13452,Require receive allow,Comedy,2012,Wesley Mcconnell,5.8
13453,Onto responsibility information,Sci-Fi,1969,Tonya Howard,1.7
13454,Still run knowledge,Documentary,1958,John Phillips,3.4
13455,Age major,Thriller,2013,Michael Long PhD,6.1
13456,Fish specific yard,Horror,1972,Tara Ford,2.7
13457,Natural change despite,Horror,2008,Cindy Dean,9.6
13458,Sort along,Thriller,1971,Chelsea Khan,1.6
13459,Prepare color someone,Horror,1962,Lisa Forbes,5.6
13460,Ability camera,Drama,2002,Sandra Howe,5.2
13461,Seven trial responsibility control,Documentary,2023,Gregory Saunders,3.9
13462,Body red financial area,Action,1992,Lisa Forbes,6.0
13463,Happy attorney rich,Horror,2023,Susan Cruz,3.3
13464,Cup,Romance,1979,Evan Taylor,9.5
13465,Central change,Drama,1970,Lisa Harris,4.3
13466,International data,Comedy,1970,Daniel Jones,5.8
13467,Month conference maintain,Romance,1981,Philip Williams,7.0
13468,Happy,Romance,1972,Sandra Howe,3.3
13469,Must several,Romance,1989,Tara Ford,6.1
13470,Reach industry air,Documentary,2012,Chelsea Khan,6.2
13471,Fund idea that,Documentary,1961,Sandra Howe,7.0
13472,Best,Comedy,2001,Jody Hoffman,8.5
13473,Member,Action,2015,Stephen Odom,6.1
13474,Man,Action,2013,Christopher Davis,9.0
13475,Down message,Comedy,1987,Jill Thornton,5.9
13476,Build,Comedy,1986,Gregory Watts,2.1
13477,Tonight film test,Documentary,1950,Michael Holden PhD,2.9
13478,Phone high foot,Documentary,1988,Deborah Cisneros,8.5
13479,Task soldier control,Documentary,2003,Clayton Wise,3.3
13480,Box site,Sci-Fi,1998,Katrina Wiley,3.9
13481,Son plant,Sci-Fi,1957,Dominique Carr,9.9
13482,Institution manager drug,Comedy,2019,Christine Benjamin,2.9
13483,Important service base,Documentary,1971,Gregory Guzman,2.7
13484,Affect nor,Romance,1954,Wesley Mcconnell,2.7
13485,Without dinner benefit,Action,1983,Christine Johnson,5.7
13486,Around according activity,Action,1950,Gregory Guzman,5.9
13487,Current painting,Comedy,1984,Rodney Rose,9.5
13488,Professional court,Comedy,1969,Renee Bullock MD,9.0
13489,Public who material,Sci-Fi,1973,Angela Martin,3.2
13490,Brother newspaper last,Action,1962,Tyler Rogers,7.1
13491,Listen good,Comedy,2017,Melissa Hardin,9.7
13492,Office onto,Sci-Fi,1960,Daniel Jones,4.9
13493,Population list,Documentary,2018,Anna Ray,7.5
13494,Consumer rich,Drama,1985,Bethany Olson DVM,7.5
13495,Tend long,Drama,2006,Stephen Odom,6.5
13496,Ok,Action,1960,Christine Benjamin,8.2
13497,Then more,Action,1966,Rodney Rose,9.7
13498,Recently language,Comedy,2023,Anthony Kelley,9.1
13499,Begin decade,Romance,1964,Samuel Bender,4.0
13500,Big light rich,Horror,1980,John Phillips,5.9
13501,Sense you,Horror,1971,Deborah Cisneros,9.8
13502,With feel,Comedy,1992,John Phillips,2.0
13503,Show,Thriller,1969,Tina Smith,3.2
13504,Top,Documentary,2018,Tina Smith,5.5
13505,Enter marriage benefit,Drama,1999,Joseph Sanders,5.1
13506,Environment president,Thriller,1956,Mark Lynch,3.1
13507,Those human,Romance,1973,Antonio Price,3.4
13508,Go put offer,Horror,1985,Michael Holden PhD,2.6
13509,Instead which,Romance,2022,Philip Gomez,2.3
13510,News wife,Action,2012,Erin Davis,2.8
13511,Age manager whole product,Thriller,2023,Joseph Sanders,6.2
13512,Accept own,Romance,1987,Sandra Howe,2.1
13513,Who six able,Drama,1962,Craig Thompson,1.7
13514,Recognize natural name,Action,2012,Lisa Harris,5.0
13515,Person try,Sci-Fi,2021,John Copeland,3.4
13516,Participant certainly before,Action,1962,Susan Cruz,2.7
13517,Apply officer,Horror,1986,Dominique Carr,8.3
13518,Husband specific art,Drama,1997,Craig Thompson,6.9
13519,As today,Romance,1955,Eric Boyd,3.0
13520,Fear could,Thriller,2012,Ashley Mcmahon,6.4
13521,Discover never apply,Romance,1978,Lisa Forbes,6.2
13522,Up for no,Sci-Fi,2018,Anthony Moreno,9.3
13523,Continue whatever,Thriller,2007,Lisa Harris,2.6
13524,Bag something,Drama,1992,Jesse Morales,3.4
13525,Establish wife million,Drama,1990,Ernest Harvey,1.1
13526,Quite board,Comedy,1976,Daniel Sheppard,9.6
13527,Through race,Romance,1980,Eric Boyd,5.1
13528,Civil effort,Horror,1969,Tyler Rogers,5.1
13529,Simply movie,Comedy,1955,Timothy Hill,2.9
13530,Imagine fact,Thriller,1968,Philip Gomez,5.0
13531,Do,Thriller,1966,Michael Holden PhD,9.6
13532,Lot benefit vote,Action,1974,Corey Rodriguez,1.5
13533,Poor even,Sci-Fi,1956,Brandon Russo,5.5
13534,Young success idea,Comedy,1958,Theresa Gonzalez,2.4
13535,Picture local,Action,1995,Denise Smith,2.4
13536,Dark,Comedy,2024,Adam Jackson,7.9
13537,Seat too father,Comedy,1962,Adam Jackson,2.2
13538,Grow nation pull,Horror,2016,Christine Pacheco,3.0
13539,Have one,Documentary,1984,Shawn Allen,1.4
13540,Space say,Romance,1980,Tina Gray,4.6
13541,The professional,Romance,1964,Caitlin Hill,5.5
13542,Paper president,Horror,1997,Jennifer Reed,1.9
13543,Upon spend,Documentary,1958,Michael Long PhD,7.6
13544,Whole today,Action,1984,Lisa Norris,2.2
13545,Garden piece,Documentary,1991,Anna Hanson,3.7
13546,Dream any another,Romance,2008,Jeffrey Rivera,9.4
13547,Program could,Romance,1969,Michael Holden PhD,8.1
13548,Modern,Thriller,1991,Lisa Norris,1.9
13549,Capital half value,Drama,1984,Jill Thornton,6.6
13550,Since loss,Sci-Fi,1959,Angela Martin,9.8
13551,Car where can,Drama,2006,Ernest Harvey,9.9
13552,American about,Horror,1955,Christine Cunningham,7.3
13553,Process,Documentary,1954,Ann Clark,8.7
13554,Hair industry,Horror,2014,Linda Morse,8.2
13555,Day hold,Thriller,2024,Jody Hoffman,6.6
13556,Certain source,Romance,1996,Erin Davis,6.1
13557,First house already,Drama,1968,Monica Meza,2.4
13558,Test arm perhaps,Romance,1952,John Phillips,8.2
13559,Friend feel assume,Horror,1950,Samuel Bender,1.6
13560,Mind fast couple pattern,Drama,2006,William Rubio,2.3
13561,Too she generation,Drama,2001,Tammy Mcgee,3.8
13562,She,Sci-Fi,1970,Bethany Olson DVM,7.3
13563,However say,Thriller,1959,Gregory Watts,7.4
13564,Everything each,Drama,2023,Gregory Guzman,4.6
13565,Deal key treatment,Action,1987,Christine Cunningham,8.6
13566,Reflect budget,Sci-Fi,2023,Gregory Watts,4.4
13567,Lead over,Drama,2000,Philip Williams,5.8
13568,Hospital reach prepare,Sci-Fi,1988,Brady Rose,10.0
13569,Car section law,Comedy,1969,Tim Richardson,3.3
13570,Force month,Sci-Fi,1951,Chad Dyer,2.3
13571,Third science two,Drama,2003,Tonya Howard,2.9
13572,Sit even address class,Documentary,1982,Jeffrey Rivera,8.3
13573,Training reason news,Documentary,2000,Shawn Allen,4.9
13574,Claim sense,Documentary,1969,Scott Jones Jr.,3.9
13575,Explain the phone,Action,1963,Jeffrey Rivera,3.6
13576,Begin newspaper,Action,1997,Kaylee Gallegos,7.7
13577,One,Horror,1955,Theresa Gonzalez,5.2
13578,Natural great outside,Comedy,1990,Tina Smith,5.4
13579,Follow citizen suffer,Sci-Fi,1962,Alicia Long,9.5
13580,Protect picture,Horror,1962,Dominique Carr,5.9
13581,Great bar might,Romance,2016,Craig Thompson,1.9
13582,Benefit this,Comedy,1984,Tina Smith,9.7
13583,Put total,Thriller,2002,Daniel Jones,6.0
13584,Task,Thriller,2017,Jasmine Howell DDS,7.3
13585,True sense,Action,1966,Christine Pacheco,3.3
13586,Lot way,Sci-Fi,1986,Christine Pacheco,2.0
13587,Direction street continue teach,Horror,1995,Ashley Mcmahon,2.0
13588,Fight change,Thriller,1965,Scott Jones Jr.,3.6
13589,Pay bag course,Action,2010,Tara Ford,3.3
13590,Plant culture,Documentary,1961,Samantha Lyons,6.8
13591,Month general,Action,1997,Caitlin Hill,5.6
13592,North world,Romance,1961,Daniel Jones,10.0
13593,Before themselves training full,Comedy,1989,Christopher Davis,3.0
13594,American take,Drama,1989,Michael Rivera,6.0
13595,As think,Thriller,1988,John Copeland,2.1
13596,His practice policy,Action,1965,Samuel Bender,3.9
13597,Simple certainly,Comedy,2004,Daniel Sheppard,5.4
13598,Mean there value,Thriller,1997,Deborah Cisneros,7.5
13599,Father,Action,1952,Gregory Saunders,5.6
13600,Smile watch himself,Comedy,1969,Evan Taylor,7.4
13601,Plan lay,Sci-Fi,2020,Alicia Long,5.1
13602,About their,Romance,1997,Danielle Dyer,6.4
13603,Beyond task concern nothing,Thriller,2013,Stephen Odom,1.8
13604,Wish deep,Horror,2009,Ann Clark,9.9
13605,Resource lead begin,Sci-Fi,1971,Lisa Forbes,7.0
13606,Often skill walk,Comedy,1968,Angela Martin,2.9
13607,Early notice,Documentary,2005,Kenneth Brown,4.1
13608,Such,Comedy,1973,Jasmine Howell DDS,1.8
13609,Allow difficult ask,Drama,2002,Matthew Peters,9.2
13610,Few book score across,Documentary,2003,Tara Ford,1.5
13611,South where,Action,1980,Tammy Mcgee,6.4
13612,Sometimes accept late research,Comedy,1954,Erin Davis,9.9
13613,Cover describe,Thriller,2001,Corey Rodriguez,6.5
13614,Win get,Action,1959,Denise Smith,9.6
13615,Material table lead,Action,1977,Timothy Hill,7.6
13616,Value next,Comedy,1999,Daniel Sheppard,1.1
13617,Move bad,Action,2012,Michael Rivera,8.8
13618,Development management professional,Comedy,2022,Tina Smith,7.8
13619,Article evidence,Drama,1983,Catherine Johnson,3.2
13620,Old off public,Comedy,2010,Tammy Mcgee,10.0
13621,Friend,Horror,1967,Brandon Russo,9.6
13622,Concern,Drama,1983,Renee Bullock MD,3.1
13623,Similar talk cut method,Thriller,2009,Ernest Harvey,4.1
13624,Help bank,Action,1999,Angela Martin,2.5
13625,Maintain mother,Comedy,2010,Joseph Sanders,8.1
13626,Third,Documentary,1991,Tim Richardson,8.3
13627,Race art,Thriller,1956,Stephen Odom,2.4
13628,Important me,Sci-Fi,1976,Lisa Harris,2.3
13629,Teacher air personal,Documentary,2013,Ann Clark,5.5
13630,Per real detail,Thriller,1971,Christine Johnson,8.1
13631,Tv skill factor,Comedy,1982,Katrina Wiley,9.0
13632,Record other,Thriller,1952,Michael Long PhD,3.5
13633,West speech side,Horror,1994,Melissa Hardin,9.6
13634,Produce subject size,Documentary,1987,Anthony Davis,1.2
13635,More full happen,Sci-Fi,1971,Jasmine Howell DDS,7.2
13636,Soon protect left,Drama,1993,Chad Dyer,5.0
13637,Executive song report,Thriller,1951,Clayton Wise,8.1
13638,Manager old put,Horror,1990,Greg Nunez,4.8
13639,Gas arrive strategy,Drama,1978,Tina Smith,7.5
13640,Increase lose sound,Documentary,1996,Samuel Bender,8.0
13641,Store Mr discussion,Documentary,2024,Mark Lynch,5.0
13642,Hit education,Sci-Fi,1993,Kenneth Brown,8.7
13643,Feeling audience father,Romance,1991,Christine Benjamin,2.1
13644,At rule situation,Drama,1965,Jill Thornton,5.4
13645,Heavy step fill,Horror,2011,Linda Morse,5.5
13646,Environmental agency public,Sci-Fi,1952,Tammy Mcgee,3.4
13647,Affect step,Romance,1973,Jennifer Smith,5.1
13648,Role item certain,Romance,1991,Christine Johnson,6.3
13649,Short thank weight,Horror,1978,Susan Cruz,6.6
13650,Indicate color forget pick,Action,1968,Ernest Harvey,9.5
13651,Structure join mother,Documentary,2016,Tammy Mcgee,2.3
13652,Everything north,Action,1993,Kenneth Brown,3.0
13653,Another begin case,Thriller,1969,Theresa Gonzalez,2.6
13654,Base produce adult,Sci-Fi,1973,Timothy Hill,1.8
13655,Live professional owner national,Action,2015,Tina Gray,1.3
13656,Front certainly,Comedy,2008,Shawn Allen,7.2
13657,Research main,Documentary,1993,Anna Hanson,7.0
13658,Life since again teach,Documentary,1975,Brian Kelley,5.8
13659,Include do yard,Drama,2020,Andrew Johnston,7.8
13660,Factor reality forward,Horror,1956,Ernest Harvey,9.8
13661,Evidence low already each,Documentary,2016,Monica Meza,4.1
13662,While no bar,Action,1953,Chad Dyer,5.5
13663,Do rich,Romance,2020,Corey Rodriguez,10.0
13664,Go customer important,Thriller,2000,Anthony Davis,4.1
13665,Painting yes center,Comedy,2014,Samantha Lyons,7.2
13666,Be along expect,Action,1987,Christine Pacheco,6.6
13667,Together myself measure,Action,1962,Melissa Hardin,5.9
13668,Home town scientist order,Drama,2020,Christine Pacheco,9.9
13669,As against,Comedy,1998,Anthony Kelley,5.0
13670,School source region control,Documentary,1989,Dominique Carr,7.5
13671,Common doctor,Drama,1997,Dominique Carr,7.2
13672,Goal just,Romance,1997,Christine Johnson,9.2
13673,Including back figure share,Romance,1998,Adam Jackson,4.0
13674,Field my,Sci-Fi,1997,Lisa Bryant,3.7
13675,Benefit fish provide,Sci-Fi,1987,Lisa Bryant,7.1
13676,Need move perform,Sci-Fi,1972,Tim Richardson,5.3
13677,Medical Mr,Horror,1967,Jasmine Howell DDS,2.9
13678,Once hold certain,Romance,2016,Lisa Bryant,1.4
13679,Nearly while himself,Sci-Fi,1986,Angela Martin,2.8
13680,Rise mean final,Horror,1980,Rodney Rose,2.7
13681,Use perhaps raise,Horror,1963,William Rubio,7.9
13682,What structure property,Sci-Fi,1977,Jennifer Smith,1.7
13683,Sign plant nothing,Sci-Fi,2019,Theresa Gonzalez,5.3
13684,Talk relate,Thriller,1950,Brian Kelley,1.2
13685,Player about thus land,Horror,2012,Adriana Evans,4.6
13686,Score condition,Drama,2000,Katherine Berry,1.9
13687,Letter describe,Thriller,1982,Cindy Dean,5.4
13688,Sure turn business,Drama,1982,Mercedes Myers,6.7
13689,At step senior,Comedy,2006,Monica Meza,1.0
13690,Increase thus fact,Thriller,2023,Bethany Olson DVM,4.2
13691,Election best majority,Action,1990,Jennifer Smith,6.1
13692,Watch economy because,Action,1969,Tina Smith,7.1
13693,Carry top game,Horror,1976,Christine Pacheco,9.4
13694,Deep price,Drama,1983,Matthew Peters,5.3
13695,Happy free,Drama,1983,Caitlin Hill,6.8
13696,Part young up,Drama,1985,Dominique Carr,2.6
13697,And meeting glass,Thriller,1953,Eric Boyd,9.2
13698,Hold check particular,Drama,1962,Adam Jackson,3.6
13699,Best stand edge,Drama,1969,Brady Rose,9.0
13700,Field cover Congress,Documentary,2013,Anthony Moreno,9.2
13701,Movie television much,Drama,1967,Jennifer Reed,9.2
13702,Foreign when agree no,Action,2005,Tyler Rogers,3.1
13703,Agent effect,Drama,2008,Erin Davis,9.4
13704,Management,Romance,1985,Christine Cunningham,2.3
13705,Rule,Documentary,1975,Jennifer Reed,7.5
13706,Ahead again out,Thriller,2012,Cindy Dean,7.0
13707,Woman their should,Documentary,2004,Scott Jones Jr.,1.8
13708,Adult key,Comedy,2013,Dominique Carr,7.3
13709,My human,Sci-Fi,2005,Jeffrey Rivera,2.3
13710,Response yeah,Sci-Fi,1953,Chad Dyer,2.8
13711,Each quality style,Comedy,1982,Bethany Olson DVM,1.1
13712,Game collection,Documentary,1984,Ernest Harvey,5.8
13713,Allow perhaps front,Horror,1968,Caitlin Hill,1.7
13714,World stay,Action,1973,Daniel Sheppard,3.3
13715,Hard natural,Horror,2019,Anthony Kelley,4.9
13716,Various real,Romance,2013,Shawn Allen,3.3
13717,Station family,Sci-Fi,1992,Chelsea Khan,8.1
13718,Thing fast,Action,1996,Ashley Mcmahon,4.4
13719,Parent rich rock,Documentary,1966,Catherine Johnson,8.1
13720,There level,Thriller,2012,Tim Richardson,4.1
13721,Which television court,Comedy,1978,Erin Davis,2.4
13722,Method partner physical,Comedy,2002,Timothy Hill,6.3
13723,Newspaper born man,Horror,1961,Danielle Dyer,1.1
13724,Man finally star,Action,2003,John Phillips,6.7
13725,Never avoid,Action,1985,Shawn Allen,4.8
13726,Who five,Romance,1977,Anthony Davis,7.3
13727,Small not truth,Drama,1993,Ann Clark,1.2
13728,Better short,Horror,2023,Lisa Forbes,2.0
13729,Material wrong last,Drama,2017,Tim Richardson,7.3
13730,Trouble store here,Thriller,1975,Timothy Hill,1.5
13731,No send,Comedy,1958,Lisa Forbes,6.4
13732,Meeting next,Comedy,2010,Michael Rivera,9.5
13733,Stuff treat live,Sci-Fi,2000,Tina Gray,5.3
13734,Ever have once staff,Thriller,1986,William Rubio,1.2
13735,Edge TV sell,Horror,1987,Monica Meza,2.6
13736,Create pass begin,Comedy,1971,Jesse Morales,1.0
13737,Simple next recognize,Comedy,2002,Tim Richardson,3.2
13738,Newspaper upon just,Thriller,1961,Corey Rodriguez,2.0
13739,Per yet,Sci-Fi,2003,Greg Nunez,2.5
13740,Culture could responsibility,Horror,2014,Cindy Dean,5.6
13741,Part debate,Romance,1963,William Rubio,4.9
13742,Indeed west age,Horror,1976,Greg Nunez,2.7
13743,Policy only,Documentary,2004,Christine Pacheco,2.0
13744,Her receive drive,Thriller,1978,Lisa Forbes,2.0
13745,Allow billion result behavior,Drama,2002,Ann Clark,4.8
13746,Head common tree,Horror,1990,Dwayne Smith,4.2
13747,Especially debate,Sci-Fi,1980,Sabrina Stevens,6.5
13748,Else,Sci-Fi,2018,Joseph Sanders,5.8
13749,Believe list,Sci-Fi,1987,Katherine Berry,1.8
13750,Budget onto,Comedy,2021,Anna Hanson,2.0
13751,Today role hour,Drama,1979,Anthony Kelley,6.5
13752,Suddenly onto although,Action,1953,Craig Thompson,3.3
13753,Never pressure,Horror,1966,Cindy Dean,5.9
13754,Cost live professor,Romance,1950,Jeffrey Rivera,7.2
13755,Better month amount,Thriller,2002,Anthony Moreno,1.8
13756,Herself drug,Drama,1962,Lisa Bryant,4.9
13757,True during,Comedy,2018,Christine Pacheco,3.0
13758,Family table town mean,Thriller,1990,Linda Morse,5.8
13759,Design hear mission,Romance,2006,Christine Pacheco,6.3
13760,Buy wish,Documentary,1971,Jasmine Howell DDS,2.4
13761,Crime instead quite,Sci-Fi,1971,Eric Boyd,1.5
13762,Sure serve expert,Drama,1973,Tina Gray,8.6
13763,Campaign produce project,Horror,2016,Adriana Evans,7.5
13764,Imagine term article,Thriller,1964,Cindy Dean,6.8
13765,Enough age authority,Comedy,2002,Anthony Davis,3.7
13766,Cover hear TV,Action,1989,Philip Williams,9.6
13767,Possible town perhaps,Drama,1983,Samuel Bender,2.9
13768,Economic including step,Horror,2021,Melissa Hardin,4.1
13769,Within before,Horror,2009,Dwayne Smith,1.2
13770,Manage pretty when,Thriller,2024,Anthony Moreno,7.3
13771,Network capital,Sci-Fi,1950,Denise Smith,3.3
13772,Billion church,Sci-Fi,1952,Lisa Bryant,4.0
13773,Rather,Drama,1964,Angela Martin,3.7
13774,Return action item national,Romance,2004,Kenneth Brown,9.8
13775,Together form decade,Documentary,1976,Clayton Wise,4.9
13776,Control cause,Romance,1989,Philip Williams,1.6
13777,Side little than,Horror,1985,Tina Gray,7.2
13778,Choose property,Comedy,2011,Gregory Saunders,5.3
13779,Would science why,Romance,1987,Bethany Olson DVM,5.9
13780,Along because,Comedy,1950,Jennifer Smith,5.6
13781,Education story,Drama,2015,Shawn Allen,7.8
13782,Heart same process,Thriller,1999,Ernest Harvey,2.0
13783,Church clearly,Drama,1980,Denise Smith,2.1
13784,Customer rich,Horror,1965,Jason Stanton,3.8
13785,Friend early,Drama,2005,Katrina Wiley,4.7
13786,Analysis,Sci-Fi,1973,Mercedes Myers,7.4
13787,Stay push thank,Documentary,2009,Christine Benjamin,1.5
13788,Will can into,Horror,1976,Samantha Lyons,7.0
13789,Anything early,Sci-Fi,1999,Tyler Rogers,7.6
13790,Statement herself,Horror,2002,Caitlin Hill,2.4
13791,Design son,Comedy,2019,Jasmine Howell DDS,3.9
13792,Brother treat bill,Romance,2003,Adriana Evans,8.6
13793,Protect believe,Documentary,2001,Catherine Johnson,4.8
13794,Month involve case,Thriller,2013,Scott Jones Jr.,1.4
13795,Share purpose,Thriller,2005,Samuel Bender,6.0
13796,Tell necessary,Sci-Fi,1978,Linda Morse,8.0
13797,It under,Comedy,2012,Stacey Morrison,8.7
